founder_id,provider_id,score
F001,S008,80
F001,S015,80
F001,S009,60
F002,S016,80
F002,S040,70
F002,S006,50
F003,S011,80
F003,S015,70
F003,S008,50
F004,S022,60
F004,S008,50
F004,S021,50
F005,S012,70
F005,S038,70
F005,S049,70
F006,S002,50
F006,S016,50
F006,S029,50
F007,S014,60
F007,S028,50
F007,S009,40
F008,S050,60
F008,S003,50
F008,S011,50
F009,S017,70
F009,S046,70
F009,S013,50
F010,S045,60
F010,S005,50
F010,S007,50
F011,S020,60
F011,S026,60
F011,S023,50
F012,S037,80
F012,S018,60
F012,S041,60
F013,S023,60
F013,S010,50
F013,S017,50
F014,S013,50
F014,S028,50
F014,S017,40
F015,S001,50
F015,S014,50
F015,S034,50
F016,S028,100
F016,S006,50
F016,S032,50
F017,S040,80
F017,S015,50
F017,S016,50
F018,S044,60
F018,S011,50
F018,S048,50
F019,S045,70
F019,S008,50
F019,S009,50
F020,S047,70
F020,S012,60
F020,S042,60
F021,S010,70
F021,S004,60
F021,S038,60
F022,S011,100
F022,S008,50
F022,S015,50
F023,S027,50
F023,S029,50
F023,S050,50
F024,S043,100
F024,S004,70
F024,S012,60
F025,S049,80
F025,S006,60
F025,S003,50
F026,S007,80
F026,S017,60
F026,S010,50
F027,S016,60
F027,S020,50
F027,S023,50
F028,S039,60
F028,S025,50
F028,S027,50
F029,S010,70
F029,S014,50
F029,S023,50
F030,S030,70
F030,S007,50
F030,S017,50
F031,S014,60
F031,S003,50
F031,S006,50
F032,S030,70
F032,S048,70
F032,S007,50
F033,S003,60
F033,S014,50
F033,S046,50
F034,S018,60
F034,S037,60
F034,S041,60
F035,S019,60
F035,S030,60
F035,S012,50
F036,S012,50
F036,S025,50
F036,S046,50
F037,S033,60
F037,S007,50
F037,S009,50
F038,S017,50
F038,S038,50
F038,S046,50
F039,S006,70
F039,S016,70
F039,S020,60
F040,S016,70
F040,S027,60
F040,S029,60
F041,S039,80
F041,S031,50
F041,S001,40
F042,S047,80
F042,S028,70
F042,S048,60
F043,S001,70
F043,S010,70
F043,S050,60
F044,S018,100
F044,S037,80
F044,S005,70
F045,S050,80
F045,S003,50
F045,S006,50
F046,S047,70
F046,S012,60
F046,S042,60
F047,S024,50
F047,S037,50
F047,S045,50
F048,S027,60
F048,S029,60
F048,S002,50
F049,S007,50
F049,S009,50
F049,S017,50
F050,S033,80
F050,S010,70
F050,S009,50
